"TaskName","TaskPath","State","Author","RunLevel"
"MicrosoftEdgeUpdateTaskMachineCore","\","Ready","SYSTEM","Highest"
"MicrosoftEdgeUpdateTaskMachineUA","\","Ready","SYSTEM","Highest"
"OneDrive Reporting Task-S-1-5-21-934178094-3016876827-2453503908-1001","\","Ready","Dell","Limited"
"OneDrive Standalone Update Task-S-1-5-21-934178094-3016876827-2453503908-1001","\","Ready","Dell","Limited"
"OneDrive Startup Task-S-1-5-21-934178094-3016876827-2453503908-1001","\","Ready","Dell","Limited"
"ZoomUpdateTaskUser-S-1-5-21-934178094-3016876827-2453503908-1001","\","Ready","Dell","Limited"
"GoogleUpdaterTaskSystem143.0.7482.0{76F97059-67D4-42D2-8AA8-42855CDDCFC5}","\GoogleSystem\GoogleUpdater\","Ready","SYSTEM","Highest"
"Printer Health Monitor","\HP\HP Print Scan Doctor\","Ready",,"Limited"
"Printer Health Monitor Logon","\HP\HP Print Scan Doctor\","Ready",,"Limited"
"Autorun for Dell","\PowerToys\","Ready","Dell","Limited"
