"Name","Command","Location","User"
"RazerAppEngine","""C:\Program Files\Razer\RazerAppEngine\RazerAppEngine.exe"" --url-params=apps=synapse,chroma-app --launch-force-hidden=synapse,chroma-app","HKU\S-1-5-18\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","NT AUTHORITY\SYSTEM"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-5-19\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","NT AUTHORITY\LOCAL SERVICE"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","NT AUTHORITY\NETWORK SERVICE"
"MicrosoftEdgeAutoLaunch_B5BC174A7B4ABF98EC6D64B02610726A","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --win-session-start","HKU\S-1-5-21-934178094-3016876827-2453503908-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","DESKOFSKYCRAWLE\Dell"
"OneDrive","""C:\Users\Dell\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background","HKU\S-1-5-21-934178094-3016876827-2453503908-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","DESKOFSKYCRAWLE\Dell"
"Client Authentication Agent","""C:\Users\Dell\AppData\Local\Sophos\Client Authentication Agent\CAA.exe"" -a","HKU\S-1-5-21-934178094-3016876827-2453503908-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","DESKOFSKYCRAWLE\Dell"
"Microsoft.Lists","C:\Users\Dell\AppData\Local\Microsoft\OneDrive\25.212.1029.0001_1\OneDrive.Sync.Service.exe","HKU\S-1-5-21-934178094-3016876827-2453503908-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","DESKOFSKYCRAWLE\Dell"
"Adobe Acrobat Synchronizer","""C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe""","HKU\S-1-5-21-934178094-3016876827-2453503908-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","DESKOFSKYCRAWLE\Dell"
"RazerAppEngine","""C:\Program Files\Razer\RazerAppEngine\RazerAppEngine.exe"" --url-params=apps=synapse,chroma-app --launch-force-hidden=synapse,chroma-app","HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Run",".DEFAULT"
"AnyDesk","C:\PROGRA~2\AnyDesk\AnyDesk.exe  --control","Common Startup","Public"
"SecurityHealth","%windir%\system32\SecurityHealthSystray.exe","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Public"
"RtkAudUService","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_04ff63d068f8c626\RtkAudUService64.exe"" -background","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Public"
"WavesSvc","""C:\WINDOWS\System32\DriverStore\FileRepository\wavesapo12de.inf_amd64_0dbb828df1dc4b7c\WavesSvc64.exe"" -Jack","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Public"
